Words,Count
happiness,68
glorious,8
remembering,3
rivers,1
floor,12
forsake,2
fall,11
revenge,12
killing,3
villain,22
solet,1
punish,7
pleasespunish,1
meno,1
nothat,1
mannot,1
monster,10
undone,18
revenged,3
business,75
ejaculation,1
heavens,46
burst,35
spontaneously,2
lips,12
bravest,2
looks,21
gestures,1
image,9
shakspear,2
hogarth,3
paint,4
clive,1
fury,10
passions,27
reiterated,1
resentment,25
injured,15
return,96
visited,10
stories,11
waited,11
strange,35
parting,8
unlikely,3
uttered,10
mouth,19
raise,20
satisfy,15
ardent,2
previous,8
ceremony,18
written,15
whisper,15
begun,7
remarked,6
becoming,12
dalila,1
jezebel,1
medea,1
semiramis,1
parysatis,1
tanaquil,1
livilla,1
messalina,1
agrippina,1
